Date ,AQI,Category,Covid
a,205,Very Unhealthy,lock
a,233,Very Unhealthy,lock
a,230,Very Unhealthy,lock
a,197,Unhealthy,lock
a,171,Unhealthy,lock
a,158,Unhealthy,lock
a,146,Unhealthy for Sensitive Groups,lock
a,139,Unhealthy for Sensitive Groups,lock
a,139,Unhealthy for Sensitive Groups,lock
a,146,Unhealthy for Sensitive Groups,lock
a,153,Unhealthy,lock
a,193,Unhealthy,lock
a,205,Very Unhealthy,lock
a,201,Very Unhealthy,lock
a,210,Very Unhealthy,lock
a,220,Very Unhealthy,lock
a,212,Very Unhealthy,lock
a,187,Unhealthy,lock
a,174,Unhealthy,lock
a,164,Unhealthy,lock
a,161,Unhealthy,lock
a,157,Unhealthy,lock
a,155,Unhealthy,lock
a,155,Unhealthy,lock
a,154,Unhealthy,lock
a,154,Unhealthy,lock
a,155,Unhealthy,lock
a,153,Unhealthy,lock
a,154,Unhealthy,lock
a,154,Unhealthy,lock
a,153,Unhealthy,lock
a,152,Unhealthy,lock
a,152,Unhealthy,lock
a,151,Unhealthy,lock
a,173,Unhealthy,lock
a,159,Unhealthy,lock
a,154,Unhealthy,lock
a,153,Unhealthy,lock
a,144,Unhealthy for Sensitive Groups,lock
a,119,Unhealthy for Sensitive Groups,lock
a,122,Unhealthy for Sensitive Groups,lock
a,117,Unhealthy for Sensitive Groups,lock
a,144,Unhealthy for Sensitive Groups,lock
a,162,Unhealthy,lock
a,160,Unhealthy,lock
a,162,Unhealthy,lock
a,182,Unhealthy,lock
a,201,Very Unhealthy,lock
a,190,Unhealthy,lock
a,180,Unhealthy,lock
a,174,Unhealthy,lock
a,165,Unhealthy,lock
a,161,Unhealthy,lock
a,162,Unhealthy,lock
a,164,Unhealthy,lock
a,166,Unhealthy,lock
a,170,Unhealthy,lock
a,157,Unhealthy,lock
a,142,Unhealthy for Sensitive Groups,lock
a,148,Unhealthy for Sensitive Groups,lock
a,145,Unhealthy for Sensitive Groups,lock
a,138,Unhealthy for Sensitive Groups,lock
a,161,Unhealthy,lock
a,152,Unhealthy,lock
a,123,Unhealthy for Sensitive Groups,lock
a,154,Unhealthy,lock
a,153,Unhealthy,lock
a,161,Unhealthy,lock
a,163,Unhealthy,lock
a,169,Unhealthy,lock
a,157,Unhealthy,lock
a,153,Unhealthy,lock
a,142,Unhealthy for Sensitive Groups,lock
a,151,Unhealthy,lock
a,155,Unhealthy,lock
a,156,Unhealthy,lock
a,159,Unhealthy,lock
a,153,Unhealthy,lock
a,136,Unhealthy for Sensitive Groups,lock
a,131,Unhealthy for Sensitive Groups,lock
a,134,Unhealthy for Sensitive Groups,lock
a,146,Unhealthy for Sensitive Groups,lock
a,154,Unhealthy,lock
a,163,Unhealthy,lock
a,165,Unhealthy,lock
a,157,Unhealthy,lock
a,150,Unhealthy for Sensitive Groups,lock
a,128,Unhealthy for Sensitive Groups,lock
a,123,Unhealthy for Sensitive Groups,lock
a,153,Unhealthy,lock
a,167,Unhealthy,lock
a,175,Unhealthy,lock
a,188,Unhealthy,lock
a,190,Unhealthy,lock
a,178,Unhealthy,lock
a,175,Unhealthy,lock
a,178,Unhealthy,lock
a,184,Unhealthy,lock
a,183,Unhealthy,lock
a,190,Unhealthy,lock
a,194,Unhealthy,lock
a,189,Unhealthy,lock
a,181,Unhealthy,lock
a,177,Unhealthy,lock
a,173,Unhealthy,lock
a,173,Unhealthy,lock
a,170,Unhealthy,lock
a,160,Unhealthy,lock
a,153,Unhealthy,lock
a,143,Unhealthy for Sensitive Groups,lock
a,131,Unhealthy for Sensitive Groups,lock
a,150,Unhealthy for Sensitive Groups,lock
a,159,Unhealthy,lock
a,168,Unhealthy,lock
a,183,Unhealthy,lock
a,193,Unhealthy,lock
a,213,Very Unhealthy,lock
a,197,Unhealthy,lock
a,212,Very Unhealthy,lock
a,196,Unhealthy,lock
a,199,Unhealthy,lock
a,209,Very Unhealthy,lock
a,228,Very Unhealthy,lock
a,223,Very Unhealthy,lock
a,184,Unhealthy,lock
a,161,Unhealthy,lock
a,146,Unhealthy for Sensitive Groups,lock
a,130,Unhealthy for Sensitive Groups,lock
a,117,Unhealthy for Sensitive Groups,lock
a,106,Unhealthy for Sensitive Groups,lock
a,115,Unhealthy for Sensitive Groups,lock
a,151,Unhealthy,lock
a,169,Unhealthy,lock
a,182,Unhealthy,lock
a,177,Unhealthy,lock
a,163,Unhealthy,lock
a,154,Unhealthy,lock
a,135,Unhealthy for Sensitive Groups,lock
a,125,Unhealthy for Sensitive Groups,lock
a,118,Unhealthy for Sensitive Groups,lock
a,119,Unhealthy for Sensitive Groups,lock
a,120,Unhealthy for Sensitive Groups,lock
a,119,Unhealthy for Sensitive Groups,lock
a,126,Unhealthy for Sensitive Groups,lock
a,132,Unhealthy for Sensitive Groups,lock
a,132,Unhealthy for Sensitive Groups,lock
a,128,Unhealthy for Sensitive Groups,lock
a,135,Unhealthy for Sensitive Groups,lock
a,137,Unhealthy for Sensitive Groups,lock
a,135,Unhealthy for Sensitive Groups,lock
a,133,Unhealthy for Sensitive Groups,lock
a,124,Unhealthy for Sensitive Groups,lock
a,121,Unhealthy for Sensitive Groups,lock
a,119,Unhealthy for Sensitive Groups,lock
a,134,Unhealthy for Sensitive Groups,lock
a,145,Unhealthy for Sensitive Groups,lock
a,157,Unhealthy,lock
a,166,Unhealthy,lock
a,168,Unhealthy,lock
a,161,Unhealthy,lock
a,156,Unhealthy,lock
a,153,Unhealthy,lock
a,135,Unhealthy for Sensitive Groups,lock
a,110,Unhealthy for Sensitive Groups,lock
a,97,Moderate,lock
a,87,Moderate,lock
a,79,Moderate,lock
a,77,Moderate,lock
a,75,Moderate,lock
a,83,Moderate,lock
a,126,Unhealthy for Sensitive Groups,lock
a,151,Unhealthy,lock
a,153,Unhealthy,lock
a,154,Unhealthy,lock
a,153,Unhealthy,lock
a,154,Unhealthy,lock
a,152,Unhealthy,lock
a,146,Unhealthy for Sensitive Groups,lock
a,137,Unhealthy for Sensitive Groups,lock
a,147,Unhealthy for Sensitive Groups,lock
a,140,Unhealthy for Sensitive Groups,lock
a,144,Unhealthy for Sensitive Groups,lock
a,135,Unhealthy for Sensitive Groups,lock
a,156,Unhealthy,lock
a,143,Unhealthy for Sensitive Groups,lock
a,121,Unhealthy for Sensitive Groups,lock
a,113,Unhealthy for Sensitive Groups,lock
a,129,Unhealthy for Sensitive Groups,lock
a,156,Unhealthy,lock
a,155,Unhealthy,lock
a,136,Unhealthy for Sensitive Groups,lock
a,122,Unhealthy for Sensitive Groups,lock
a,149,Unhealthy for Sensitive Groups,lock
a,164,Unhealthy,lock
a,163,Unhealthy,lock
a,155,Unhealthy,lock
a,155,Unhealthy,lock
a,154,Unhealthy,lock
a,153,Unhealthy,lock
a,152,Unhealthy,lock
a,151,Unhealthy,lock
a,140,Unhealthy for Sensitive Groups,lock
a,134,Unhealthy for Sensitive Groups,lock
a,127,Unhealthy for Sensitive Groups,lock
a,134,Unhealthy for Sensitive Groups,lock
a,148,Unhealthy for Sensitive Groups,lock
a,148,Unhealthy for Sensitive Groups,lock
a,142,Unhealthy for Sensitive Groups,lock
a,142,Unhealthy for Sensitive Groups,lock
a,141,Unhealthy for Sensitive Groups,lock
a,121,Unhealthy for Sensitive Groups,lock
a,112,Unhealthy for Sensitive Groups,lock
a,139,Unhealthy for Sensitive Groups,lock
a,160,Unhealthy,lock
a,167,Unhealthy,lock
a,173,Unhealthy,lock
a,174,Unhealthy,lock
a,155,Unhealthy,lock
a,131,Unhealthy for Sensitive Groups,lock
a,118,Unhealthy for Sensitive Groups,lock
a,103,Unhealthy for Sensitive Groups,lock
a,87,Moderate,lock
a,75,Moderate,lock
a,72,Moderate,lock
a,79,Moderate,lock
a,87,Moderate,lock
a,102,Unhealthy for Sensitive Groups,lock
a,126,Unhealthy for Sensitive Groups,lock
a,147,Unhealthy for Sensitive Groups,lock
a,158,Unhealthy,lock
a,162,Unhealthy,lock
a,152,Unhealthy,lock
a,120,Unhealthy for Sensitive Groups,lock
a,96,Moderate,lock
a,85,Moderate,lock
a,78,Moderate,lock
a,76,Moderate,lock
a,80,Moderate,lock
a,85,Moderate,lock
a,82,Moderate,lock
a,83,Moderate,lock
a,91,Moderate,lock
a,87,Moderate,lock
a,75,Moderate,lock
a,71,Moderate,lock
a,78,Moderate,lock
a,80,Moderate,lock
a,77,Moderate,lock
a,97,Moderate,lock
a,93,Moderate,lock
a,96,Moderate,lock
a,115,Unhealthy for Sensitive Groups,lock
a,154,Unhealthy,lock
a,107,Unhealthy for Sensitive Groups,lock
a,81,Moderate,lock
a,70,Moderate,lock
a,66,Moderate,lock
a,63,Moderate,lock
a,70,Moderate,lock
a,75,Moderate,lock
a,73,Moderate,lock
a,68,Moderate,lock
a,65,Moderate,lock
a,68,Moderate,lock
a,77,Moderate,lock
a,80,Moderate,lock
a,93,Moderate,lock
a,85,Moderate,lock
a,81,Moderate,lock
a,84,Moderate,lock
a,84,Moderate,lock
a,84,Moderate,lock
a,85,Moderate,lock
a,90,Moderate,lock
a,96,Moderate,lock
a,120,Unhealthy for Sensitive Groups,lock
a,147,Unhealthy for Sensitive Groups,lock
a,154,Unhealthy,lock
a,154,Unhealthy,lock
a,156,Unhealthy,lock
a,156,Unhealthy,lock
a,157,Unhealthy,lock
a,164,Unhealthy,lock
a,161,Unhealthy,lock
a,164,Unhealthy,lock
a,172,Unhealthy,lock
a,185,Unhealthy,lock
a,181,Unhealthy,lock
a,170,Unhealthy,lock
a,159,Unhealthy,lock
a,152,Unhealthy,lock
a,146,Unhealthy for Sensitive Groups,lock
a,153,Unhealthy,lock
a,154,Unhealthy,lock
a,152,Unhealthy,lock
a,152,Unhealthy,lock
a,155,Unhealthy,lock
a,153,Unhealthy,lock
a,152,Unhealthy,lock
a,153,Unhealthy,lock
a,158,Unhealthy,lock
a,166,Unhealthy,lock
a,167,Unhealthy,lock
a,166,Unhealthy,lock
a,168,Unhealthy,lock
a,155,Unhealthy,lock
a,130,Unhealthy for Sensitive Groups,lock
a,107,Unhealthy for Sensitive Groups,lock
a,94,Moderate,lock
a,87,Moderate,lock
a,128,Unhealthy for Sensitive Groups,lock
a,160,Unhealthy,lock
a,168,Unhealthy,lock
a,171,Unhealthy,lock
a,170,Unhealthy,lock
a,166,Unhealthy,lock
a,161,Unhealthy,lock
a,155,Unhealthy,lock
a,152,Unhealthy,lock
a,152,Unhealthy,lock
a,154,Unhealthy,lock
a,156,Unhealthy,lock
a,155,Unhealthy,lock
a,155,Unhealthy,lock
a,158,Unhealthy,lock
a,162,Unhealthy,lock
a,166,Unhealthy,lock
a,188,Unhealthy,lock
a,170,Unhealthy,lock
a,157,Unhealthy,lock
a,134,Unhealthy for Sensitive Groups,lock
a,107,Unhealthy for Sensitive Groups,lock
a,89,Moderate,lock
a,80,Moderate,lock
a,79,Moderate,lock
a,88,Moderate,lock
a,86,Moderate,lock
a,98,Moderate,lock
a,126,Unhealthy for Sensitive Groups,lock
a,115,Unhealthy for Sensitive Groups,lock
a,117,Unhealthy for Sensitive Groups,lock
a,119,Unhealthy for Sensitive Groups,lock
a,89,Moderate,lock
a,75,Moderate,lock
a,69,Moderate,lock
a,62,Moderate,lock
a,67,Moderate,lock
a,72,Moderate,lock
a,77,Moderate,lock
a,84,Moderate,lock
a,108,Unhealthy for Sensitive Groups,lock
a,147,Unhealthy for Sensitive Groups,lock
a,127,Unhealthy for Sensitive Groups,lock
a,84,Moderate,lock
a,68,Moderate,lock
a,59,Moderate,lock
a,55,Moderate,lock
a,56,Moderate,lock
a,65,Moderate,lock
a,74,Moderate,lock
a,75,Moderate,lock
a,84,Moderate,lock
a,84,Moderate,lock
a,92,Moderate,lock
a,97,Moderate,lock
a,104,Unhealthy for Sensitive Groups,lock
a,115,Unhealthy for Sensitive Groups,lock
a,123,Unhealthy for Sensitive Groups,lock
a,139,Unhealthy for Sensitive Groups,lock
a,144,Unhealthy for Sensitive Groups,lock
a,133,Unhealthy for Sensitive Groups,lock
a,146,Unhealthy for Sensitive Groups,lock
a,157,Unhealthy,lock
a,163,Unhealthy,lock
a,168,Unhealthy,lock
a,166,Unhealthy,lock
a,153,Unhealthy,lock
a,126,Unhealthy for Sensitive Groups,lock
a,104,Unhealthy for Sensitive Groups,lock
a,95,Moderate,lock
a,84,Moderate,lock
a,96,Moderate,lock
a,101,Unhealthy for Sensitive Groups,lock
a,110,Unhealthy for Sensitive Groups,lock
a,110,Unhealthy for Sensitive Groups,lock
a,97,Moderate,lock
a,87,Moderate,lock
a,77,Moderate,lock
a,71,Moderate,lock
a,70,Moderate,lock
a,79,Moderate,lock
a,80,Moderate,lock
a,85,Moderate,lock
a,94,Moderate,lock
a,98,Moderate,lock
a,97,Moderate,lock
a,105,Unhealthy for Sensitive Groups,lock
a,101,Unhealthy for Sensitive Groups,lock
a,109,Unhealthy for Sensitive Groups,lock
a,113,Unhealthy for Sensitive Groups,lock
a,116,Unhealthy for Sensitive Groups,lock
a,117,Unhealthy for Sensitive Groups,lock
a,118,Unhealthy for Sensitive Groups,lock
a,119,Unhealthy for Sensitive Groups,lock
a,129,Unhealthy for Sensitive Groups,lock
a,151,Unhealthy,lock
a,123,Unhealthy for Sensitive Groups,lock
a,112,Unhealthy for Sensitive Groups,lock
a,108,Unhealthy for Sensitive Groups,lock
a,91,Moderate,lock
a,84,Moderate,lock
a,86,Moderate,lock
a,88,Moderate,lock
a,93,Moderate,lock
a,95,Moderate,lock
a,93,Moderate,lock
a,88,Moderate,lock
a,88,Moderate,lock
a,87,Moderate,lock
a,85,Moderate,lock
a,80,Moderate,lock
a,79,Moderate,lock
a,92,Moderate,lock
a,82,Moderate,lock
a,93,Moderate,lock
a,80,Moderate,lock
a,71,Moderate,lock
a,106,Unhealthy for Sensitive Groups,lock
a,79,Moderate,lock
a,70,Moderate,lock
a,85,Moderate,lock
a,152,Unhealthy,lock
a,116,Unhealthy for Sensitive Groups,lock
a,100,Moderate,lock
a,92,Moderate,lock
a,97,Moderate,lock
a,96,Moderate,lock
a,91,Moderate,lock
a,78,Moderate,lock
a,75,Moderate,lock
a,70,Moderate,lock
a,74,Moderate,lock
a,78,Moderate,lock
a,90,Moderate,lock
a,111,Unhealthy for Sensitive Groups,lock
a,106,Unhealthy for Sensitive Groups,lock
a,97,Moderate,lock
a,83,Moderate,lock
a,74,Moderate,lock
a,86,Moderate,lock
a,93,Moderate,lock
a,86,Moderate,lock
a,72,Moderate,lock
a,98,Moderate,lock
a,75,Moderate,lock
a,85,Moderate,lock
a,88,Moderate,lock
a,90,Moderate,lock
a,93,Moderate,lock
a,93,Moderate,lock
a,92,Moderate,lock
a,93,Moderate,lock
a,93,Moderate,lock
a,92,Moderate,lock
a,93,Moderate,lock
a,89,Moderate,lock
a,95,Moderate,lock
a,103,Unhealthy for Sensitive Groups,lock
a,105,Unhealthy for Sensitive Groups,lock
a,107,Unhealthy for Sensitive Groups,lock
a,115,Unhealthy for Sensitive Groups,lock
a,127,Unhealthy for Sensitive Groups,lock
a,114,Unhealthy for Sensitive Groups,lock
a,96,Moderate,lock
a,107,Unhealthy for Sensitive Groups,lock
a,163,Unhealthy,lock
a,166,Unhealthy,lock
a,166,Unhealthy,lock
a,164,Unhealthy,lock
a,164,Unhealthy,lock
a,165,Unhealthy,lock
a,170,Unhealthy,lock
a,159,Unhealthy,lock
a,147,Unhealthy for Sensitive Groups,lock
a,121,Unhealthy for Sensitive Groups,lock
a,118,Unhealthy for Sensitive Groups,lock
a,106,Unhealthy for Sensitive Groups,lock
a,97,Moderate,lock
a,109,Unhealthy for Sensitive Groups,lock
a,108,Unhealthy for Sensitive Groups,lock
a,106,Unhealthy for Sensitive Groups,lock
a,128,Unhealthy for Sensitive Groups,lock
a,152,Unhealthy,lock
a,154,Unhealthy,lock
a,152,Unhealthy,lock
a,152,Unhealthy,lock
a,145,Unhealthy for Sensitive Groups,lock
a,153,Unhealthy,lock
a,154,Unhealthy,lock
a,161,Unhealthy,lock
a,159,Unhealthy,lock
a,160,Unhealthy,lock
a,169,Unhealthy,lock
a,163,Unhealthy,lock
a,159,Unhealthy,lock
a,156,Unhealthy,lock
a,170,Unhealthy,lock
a,184,Unhealthy,lock
a,161,Unhealthy,lock
a,127,Unhealthy for Sensitive Groups,lock
a,104,Unhealthy for Sensitive Groups,lock
a,90,Moderate,lock
a,79,Moderate,lock
a,75,Moderate,lock
a,82,Moderate,lock
a,94,Moderate,lock
a,93,Moderate,lock
a,88,Moderate,lock
a,77,Moderate,lock
a,67,Moderate,lock
a,64,Moderate,lock
a,65,Moderate,lock
a,72,Moderate,lock
a,153,Unhealthy,lock
a,167,Unhealthy,lock
a,155,Unhealthy,lock
a,130,Unhealthy for Sensitive Groups,lock
a,129,Unhealthy for Sensitive Groups,lock
a,140,Unhealthy for Sensitive Groups,lock
a,158,Unhealthy,lock
a,172,Unhealthy,lock
a,155,Unhealthy,lock
a,131,Unhealthy for Sensitive Groups,lock
a,106,Unhealthy for Sensitive Groups,lock
a,95,Moderate,lock
a,93,Moderate,lock
a,111,Unhealthy for Sensitive Groups,lock
a,80,Moderate,lock
a,77,Moderate,lock
a,70,Moderate,lock
a,62,Moderate,lock
a,72,Moderate,lock
a,70,Moderate,lock
a,105,Unhealthy for Sensitive Groups,lock
a,103,Unhealthy for Sensitive Groups,lock
a,116,Unhealthy for Sensitive Groups,lock
a,152,Unhealthy,lock
a,158,Unhealthy,lock
a,147,Unhealthy for Sensitive Groups,lock
a,157,Unhealthy,lock
a,119,Unhealthy for Sensitive Groups,lock
a,103,Unhealthy for Sensitive Groups,lock
a,142,Unhealthy for Sensitive Groups,lock
a,155,Unhealthy,lock
a,126,Unhealthy for Sensitive Groups,lock
a,95,Moderate,lock
a,74,Moderate,lock
a,103,Unhealthy for Sensitive Groups,lock
a,122,Unhealthy for Sensitive Groups,lock
a,106,Unhealthy for Sensitive Groups,lock
a,95,Moderate,lock
a,92,Moderate,lock
a,82,Moderate,lock
a,79,Moderate,lock
a,88,Moderate,lock
a,112,Unhealthy for Sensitive Groups,lock
a,139,Unhealthy for Sensitive Groups,lock
a,104,Unhealthy for Sensitive Groups,lock
a,94,Moderate,lock
a,84,Moderate,lock
a,71,Moderate,lock
a,70,Moderate,lock
a,156,Unhealthy,lock
a,160,Unhealthy,lock
a,152,Unhealthy,lock
a,131,Unhealthy for Sensitive Groups,lock
a,93,Moderate,lock
a,99,Moderate,lock
a,91,Moderate,lock
a,81,Moderate,lock
a,74,Moderate,lock
a,72,Moderate,lock
a,70,Moderate,lock
a,73,Moderate,lock
a,75,Moderate,lock
a,74,Moderate,lock
a,81,Moderate,lock
a,75,Moderate,lock
a,93,Moderate,lock
a,117,Unhealthy for Sensitive Groups,lock
a,132,Unhealthy for Sensitive Groups,lock
a,128,Unhealthy for Sensitive Groups,lock
a,142,Unhealthy for Sensitive Groups,lock
a,152,Unhealthy,lock
a,128,Unhealthy for Sensitive Groups,lock
a,127,Unhealthy for Sensitive Groups,lock
a,103,Unhealthy for Sensitive Groups,lock
a,92,Moderate,lock
a,75,Moderate,lock
a,90,Moderate,lock
a,70,Moderate,lock
a,58,Moderate,lock
a,60,Moderate,lock
a,60,Moderate,lock
a,63,Moderate,lock
a,63,Moderate,lock
a,65,Moderate,lock
a,56,Moderate,lock
a,54,Moderate,lock
a,58,Moderate,lock
a,63,Moderate,lock
a,63,Moderate,lock
a,67,Moderate,lock
a,88,Moderate,lock
a,98,Moderate,lock
a,101,Unhealthy for Sensitive Groups,lock
a,97,Moderate,lock
a,97,Moderate,lock
a,98,Moderate,lock
a,103,Unhealthy for Sensitive Groups,lock
a,102,Unhealthy for Sensitive Groups,lock
a,93,Moderate,lock
a,101,Unhealthy for Sensitive Groups,lock
a,98,Moderate,lock
a,117,Unhealthy for Sensitive Groups,lock
a,120,Unhealthy for Sensitive Groups,lock
a,121,Unhealthy for Sensitive Groups,lock
a,120,Unhealthy for Sensitive Groups,lock
a,103,Unhealthy for Sensitive Groups,lock
a,104,Unhealthy for Sensitive Groups,lock
a,103,Unhealthy for Sensitive Groups,lock
a,108,Unhealthy for Sensitive Groups,lock
a,107,Unhealthy for Sensitive Groups,lock
a,102,Unhealthy for Sensitive Groups,lock
a,91,Moderate,lock
a,97,Moderate,lock
a,103,Unhealthy for Sensitive Groups,lock
a,106,Unhealthy for Sensitive Groups,lock
a,99,Moderate,lock
a,107,Unhealthy for Sensitive Groups,lock
a,117,Unhealthy for Sensitive Groups,lock
a,145,Unhealthy for Sensitive Groups,lock
a,154,Unhealthy,lock
a,162,Unhealthy,lock
a,160,Unhealthy,lock
a,157,Unhealthy,lock
a,157,Unhealthy,lock
a,154,Unhealthy,lock
a,155,Unhealthy,lock
a,158,Unhealthy,lock
a,157,Unhealthy,lock
a,151,Unhealthy,lock
a,135,Unhealthy for Sensitive Groups,lock
a,116,Unhealthy for Sensitive Groups,lock
a,97,Moderate,lock
a,74,Moderate,lock
a,72,Moderate,lock
a,76,Moderate,lock
a,81,Moderate,lock
a,92,Moderate,lock
a,95,Moderate,lock
a,100,Moderate,lock
a,111,Unhealthy for Sensitive Groups,lock
a,140,Unhealthy for Sensitive Groups,lock
a,127,Unhealthy for Sensitive Groups,lock
a,131,Unhealthy for Sensitive Groups,lock
a,110,Unhealthy for Sensitive Groups,lock
