Date ,month ,AQI,Category,Covid
31,M,160,Unhealthy,lock
31,M,156,Unhealthy,lock
31,M,133,Unhealthy for Sensitive Groups,lock
31,M,115,Unhealthy for Sensitive Groups,lock
31,M,107,Unhealthy for Sensitive Groups,lock
31,M,106,Unhealthy for Sensitive Groups,lock
31,M,122,Unhealthy for Sensitive Groups,lock
31,M,142,Unhealthy for Sensitive Groups,lock
31,M,158,Unhealthy,lock
31,M,162,Unhealthy,lock
31,M,165,Unhealthy,lock
31,M,169,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,172,Unhealthy,lock
4,a,189,Unhealthy,lock
4,a,205,Very Unhealthy,lock
4,a,233,Very Unhealthy,lock
4,a,230,Very Unhealthy,lock
4,a,197,Unhealthy,lock
4,a,171,Unhealthy,lock
4,a,158,Unhealthy,lock
4,a,146,Unhealthy for Sensitive Groups,lock
4,a,139,Unhealthy for Sensitive Groups,lock
4,a,139,Unhealthy for Sensitive Groups,lock
4,a,146,Unhealthy for Sensitive Groups,lock
4,a,153,Unhealthy,lock
4,a,193,Unhealthy,lock
4,a,205,Very Unhealthy,lock
4,a,201,Very Unhealthy,lock
4,a,210,Very Unhealthy,lock
4,a,220,Very Unhealthy,lock
4,a,212,Very Unhealthy,lock
4,a,187,Unhealthy,lock
4,a,174,Unhealthy,lock
4,a,164,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,157,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,151,Unhealthy,lock
4,a,173,Unhealthy,lock
4,a,159,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,144,Unhealthy for Sensitive Groups,lock
4,a,119,Unhealthy for Sensitive Groups,lock
4,a,122,Unhealthy for Sensitive Groups,lock
4,a,117,Unhealthy for Sensitive Groups,lock
4,a,144,Unhealthy for Sensitive Groups,lock
4,a,162,Unhealthy,lock
4,a,160,Unhealthy,lock
4,a,162,Unhealthy,lock
4,a,182,Unhealthy,lock
4,a,201,Very Unhealthy,lock
4,a,190,Unhealthy,lock
4,a,180,Unhealthy,lock
4,a,174,Unhealthy,lock
4,a,165,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,162,Unhealthy,lock
4,a,164,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,157,Unhealthy,lock
4,a,142,Unhealthy for Sensitive Groups,lock
4,a,148,Unhealthy for Sensitive Groups,lock
4,a,145,Unhealthy for Sensitive Groups,lock
4,a,138,Unhealthy for Sensitive Groups,lock
4,a,161,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,123,Unhealthy for Sensitive Groups,lock
4,a,154,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,163,Unhealthy,lock
4,a,169,Unhealthy,lock
4,a,157,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,142,Unhealthy for Sensitive Groups,lock
4,a,151,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,156,Unhealthy,lock
4,a,159,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,136,Unhealthy for Sensitive Groups,lock
4,a,131,Unhealthy for Sensitive Groups,lock
4,a,134,Unhealthy for Sensitive Groups,lock
4,a,146,Unhealthy for Sensitive Groups,lock
4,a,154,Unhealthy,lock
4,a,163,Unhealthy,lock
4,a,165,Unhealthy,lock
4,a,157,Unhealthy,lock
4,a,150,Unhealthy for Sensitive Groups,lock
4,a,128,Unhealthy for Sensitive Groups,lock
4,a,123,Unhealthy for Sensitive Groups,lock
4,a,153,Unhealthy,lock
4,a,167,Unhealthy,lock
4,a,175,Unhealthy,lock
4,a,188,Unhealthy,lock
4,a,190,Unhealthy,lock
4,a,178,Unhealthy,lock
4,a,175,Unhealthy,lock
4,a,178,Unhealthy,lock
4,a,184,Unhealthy,lock
4,a,183,Unhealthy,lock
4,a,190,Unhealthy,lock
4,a,194,Unhealthy,lock
4,a,189,Unhealthy,lock
4,a,181,Unhealthy,lock
4,a,177,Unhealthy,lock
4,a,173,Unhealthy,lock
4,a,173,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,160,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,143,Unhealthy for Sensitive Groups,lock
4,a,131,Unhealthy for Sensitive Groups,lock
4,a,150,Unhealthy for Sensitive Groups,lock
4,a,159,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,183,Unhealthy,lock
4,a,193,Unhealthy,lock
4,a,213,Very Unhealthy,lock
4,a,197,Unhealthy,lock
4,a,212,Very Unhealthy,lock
4,a,196,Unhealthy,lock
4,a,199,Unhealthy,lock
4,a,209,Very Unhealthy,lock
4,a,228,Very Unhealthy,lock
4,a,223,Very Unhealthy,lock
4,a,184,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,146,Unhealthy for Sensitive Groups,lock
4,a,130,Unhealthy for Sensitive Groups,lock
4,a,117,Unhealthy for Sensitive Groups,lock
4,a,106,Unhealthy for Sensitive Groups,lock
4,a,115,Unhealthy for Sensitive Groups,lock
4,a,151,Unhealthy,lock
4,a,169,Unhealthy,lock
4,a,182,Unhealthy,lock
4,a,177,Unhealthy,lock
4,a,163,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,135,Unhealthy for Sensitive Groups,lock
4,a,125,Unhealthy for Sensitive Groups,lock
4,a,118,Unhealthy for Sensitive Groups,lock
4,a,119,Unhealthy for Sensitive Groups,lock
4,a,120,Unhealthy for Sensitive Groups,lock
4,a,119,Unhealthy for Sensitive Groups,lock
4,a,126,Unhealthy for Sensitive Groups,lock
4,a,132,Unhealthy for Sensitive Groups,lock
4,a,132,Unhealthy for Sensitive Groups,lock
4,a,128,Unhealthy for Sensitive Groups,lock
4,a,135,Unhealthy for Sensitive Groups,lock
4,a,137,Unhealthy for Sensitive Groups,lock
4,a,135,Unhealthy for Sensitive Groups,lock
4,a,133,Unhealthy for Sensitive Groups,lock
4,a,124,Unhealthy for Sensitive Groups,lock
4,a,121,Unhealthy for Sensitive Groups,lock
4,a,119,Unhealthy for Sensitive Groups,lock
4,a,134,Unhealthy for Sensitive Groups,lock
4,a,145,Unhealthy for Sensitive Groups,lock
4,a,157,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,156,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,135,Unhealthy for Sensitive Groups,lock
4,a,110,Unhealthy for Sensitive Groups,lock
4,a,97,Moderate,lock
4,a,87,Moderate,lock
4,a,79,Moderate,lock
4,a,77,Moderate,lock
4,a,75,Moderate,lock
4,a,83,Moderate,lock
4,a,126,Unhealthy for Sensitive Groups,lock
4,a,151,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,146,Unhealthy for Sensitive Groups,lock
4,a,137,Unhealthy for Sensitive Groups,lock
4,a,147,Unhealthy for Sensitive Groups,lock
4,a,140,Unhealthy for Sensitive Groups,lock
4,a,144,Unhealthy for Sensitive Groups,lock
4,a,135,Unhealthy for Sensitive Groups,lock
4,a,156,Unhealthy,lock
4,a,143,Unhealthy for Sensitive Groups,lock
4,a,121,Unhealthy for Sensitive Groups,lock
4,a,113,Unhealthy for Sensitive Groups,lock
4,a,129,Unhealthy for Sensitive Groups,lock
4,a,156,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,136,Unhealthy for Sensitive Groups,lock
4,a,122,Unhealthy for Sensitive Groups,lock
4,a,149,Unhealthy for Sensitive Groups,lock
4,a,164,Unhealthy,lock
4,a,163,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,151,Unhealthy,lock
4,a,140,Unhealthy for Sensitive Groups,lock
4,a,134,Unhealthy for Sensitive Groups,lock
4,a,127,Unhealthy for Sensitive Groups,lock
4,a,134,Unhealthy for Sensitive Groups,lock
4,a,148,Unhealthy for Sensitive Groups,lock
4,a,148,Unhealthy for Sensitive Groups,lock
4,a,142,Unhealthy for Sensitive Groups,lock
4,a,142,Unhealthy for Sensitive Groups,lock
4,a,141,Unhealthy for Sensitive Groups,lock
4,a,121,Unhealthy for Sensitive Groups,lock
4,a,112,Unhealthy for Sensitive Groups,lock
4,a,139,Unhealthy for Sensitive Groups,lock
4,a,160,Unhealthy,lock
4,a,167,Unhealthy,lock
4,a,173,Unhealthy,lock
4,a,174,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,131,Unhealthy for Sensitive Groups,lock
4,a,118,Unhealthy for Sensitive Groups,lock
4,a,103,Unhealthy for Sensitive Groups,lock
4,a,87,Moderate,lock
4,a,75,Moderate,lock
4,a,72,Moderate,lock
4,a,79,Moderate,lock
4,a,87,Moderate,lock
4,a,102,Unhealthy for Sensitive Groups,lock
4,a,126,Unhealthy for Sensitive Groups,lock
4,a,147,Unhealthy for Sensitive Groups,lock
4,a,158,Unhealthy,lock
4,a,162,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,120,Unhealthy for Sensitive Groups,lock
4,a,96,Moderate,lock
4,a,85,Moderate,lock
4,a,78,Moderate,lock
4,a,76,Moderate,lock
4,a,80,Moderate,lock
4,a,85,Moderate,lock
4,a,82,Moderate,lock
4,a,83,Moderate,lock
4,a,91,Moderate,lock
4,a,87,Moderate,lock
4,a,75,Moderate,lock
4,a,71,Moderate,lock
4,a,78,Moderate,lock
4,a,80,Moderate,lock
4,a,77,Moderate,lock
4,a,97,Moderate,lock
4,a,93,Moderate,lock
4,a,96,Moderate,lock
4,a,115,Unhealthy for Sensitive Groups,lock
4,a,154,Unhealthy,lock
4,a,107,Unhealthy for Sensitive Groups,lock
4,a,81,Moderate,lock
4,a,70,Moderate,lock
4,a,66,Moderate,lock
4,a,63,Moderate,lock
4,a,70,Moderate,lock
4,a,75,Moderate,lock
4,a,73,Moderate,lock
4,a,68,Moderate,lock
4,a,65,Moderate,lock
4,a,68,Moderate,lock
4,a,77,Moderate,lock
4,a,80,Moderate,lock
4,a,93,Moderate,lock
4,a,85,Moderate,lock
4,a,81,Moderate,lock
4,a,84,Moderate,lock
4,a,84,Moderate,lock
4,a,84,Moderate,lock
4,a,85,Moderate,lock
4,a,90,Moderate,lock
4,a,96,Moderate,lock
4,a,120,Unhealthy for Sensitive Groups,lock
4,a,147,Unhealthy for Sensitive Groups,lock
4,a,154,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,156,Unhealthy,lock
4,a,156,Unhealthy,lock
4,a,157,Unhealthy,lock
4,a,164,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,164,Unhealthy,lock
4,a,172,Unhealthy,lock
4,a,185,Unhealthy,lock
4,a,181,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,159,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,146,Unhealthy for Sensitive Groups,lock
4,a,153,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,158,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,167,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,130,Unhealthy for Sensitive Groups,lock
4,a,107,Unhealthy for Sensitive Groups,lock
4,a,94,Moderate,lock
4,a,87,Moderate,lock
4,a,128,Unhealthy for Sensitive Groups,lock
4,a,160,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,171,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,156,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,158,Unhealthy,lock
4,a,162,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,188,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,157,Unhealthy,lock
4,a,134,Unhealthy for Sensitive Groups,lock
4,a,107,Unhealthy for Sensitive Groups,lock
4,a,89,Moderate,lock
4,a,80,Moderate,lock
4,a,79,Moderate,lock
4,a,88,Moderate,lock
4,a,86,Moderate,lock
4,a,98,Moderate,lock
4,a,126,Unhealthy for Sensitive Groups,lock
4,a,115,Unhealthy for Sensitive Groups,lock
4,a,117,Unhealthy for Sensitive Groups,lock
4,a,119,Unhealthy for Sensitive Groups,lock
4,a,89,Moderate,lock
4,a,75,Moderate,lock
4,a,69,Moderate,lock
4,a,62,Moderate,lock
4,a,67,Moderate,lock
4,a,72,Moderate,lock
4,a,77,Moderate,lock
4,a,84,Moderate,lock
4,a,108,Unhealthy for Sensitive Groups,lock
4,a,147,Unhealthy for Sensitive Groups,lock
4,a,127,Unhealthy for Sensitive Groups,lock
4,a,84,Moderate,lock
4,a,68,Moderate,lock
4,a,59,Moderate,lock
4,a,55,Moderate,lock
4,a,56,Moderate,lock
4,a,65,Moderate,lock
4,a,74,Moderate,lock
4,a,75,Moderate,lock
4,a,84,Moderate,lock
4,a,84,Moderate,lock
4,a,92,Moderate,lock
4,a,97,Moderate,lock
4,a,104,Unhealthy for Sensitive Groups,lock
4,a,115,Unhealthy for Sensitive Groups,lock
4,a,123,Unhealthy for Sensitive Groups,lock
4,a,139,Unhealthy for Sensitive Groups,lock
4,a,144,Unhealthy for Sensitive Groups,lock
4,a,133,Unhealthy for Sensitive Groups,lock
4,a,146,Unhealthy for Sensitive Groups,lock
4,a,157,Unhealthy,lock
4,a,163,Unhealthy,lock
4,a,168,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,153,Unhealthy,lock
4,a,126,Unhealthy for Sensitive Groups,lock
4,a,104,Unhealthy for Sensitive Groups,lock
4,a,95,Moderate,lock
4,a,84,Moderate,lock
4,a,96,Moderate,lock
4,a,101,Unhealthy for Sensitive Groups,lock
4,a,110,Unhealthy for Sensitive Groups,lock
4,a,110,Unhealthy for Sensitive Groups,lock
4,a,97,Moderate,lock
4,a,87,Moderate,lock
4,a,77,Moderate,lock
4,a,71,Moderate,lock
4,a,70,Moderate,lock
4,a,79,Moderate,lock
4,a,80,Moderate,lock
4,a,85,Moderate,lock
4,a,94,Moderate,lock
4,a,98,Moderate,lock
4,a,97,Moderate,lock
4,a,105,Unhealthy for Sensitive Groups,lock
4,a,101,Unhealthy for Sensitive Groups,lock
4,a,109,Unhealthy for Sensitive Groups,lock
4,a,113,Unhealthy for Sensitive Groups,lock
4,a,116,Unhealthy for Sensitive Groups,lock
4,a,117,Unhealthy for Sensitive Groups,lock
4,a,118,Unhealthy for Sensitive Groups,lock
4,a,119,Unhealthy for Sensitive Groups,lock
4,a,129,Unhealthy for Sensitive Groups,lock
4,a,151,Unhealthy,lock
4,a,123,Unhealthy for Sensitive Groups,lock
4,a,112,Unhealthy for Sensitive Groups,lock
4,a,108,Unhealthy for Sensitive Groups,lock
4,a,91,Moderate,lock
4,a,84,Moderate,lock
4,a,86,Moderate,lock
4,a,88,Moderate,lock
4,a,93,Moderate,lock
4,a,95,Moderate,lock
4,a,93,Moderate,lock
4,a,88,Moderate,lock
4,a,88,Moderate,lock
4,a,87,Moderate,lock
4,a,85,Moderate,lock
4,a,80,Moderate,lock
4,a,79,Moderate,lock
4,a,92,Moderate,lock
4,a,82,Moderate,lock
4,a,93,Moderate,lock
4,a,80,Moderate,lock
4,a,71,Moderate,lock
4,a,106,Unhealthy for Sensitive Groups,lock
4,a,79,Moderate,lock
4,a,70,Moderate,lock
4,a,85,Moderate,lock
4,a,152,Unhealthy,lock
4,a,116,Unhealthy for Sensitive Groups,lock
4,a,100,Moderate,lock
4,a,92,Moderate,lock
4,a,97,Moderate,lock
4,a,96,Moderate,lock
4,a,91,Moderate,lock
4,a,78,Moderate,lock
4,a,75,Moderate,lock
4,a,70,Moderate,lock
4,a,74,Moderate,lock
4,a,78,Moderate,lock
4,a,90,Moderate,lock
4,a,111,Unhealthy for Sensitive Groups,lock
4,a,106,Unhealthy for Sensitive Groups,lock
4,a,97,Moderate,lock
4,a,83,Moderate,lock
4,a,74,Moderate,lock
4,a,86,Moderate,lock
4,a,93,Moderate,lock
4,a,86,Moderate,lock
4,a,72,Moderate,lock
4,a,98,Moderate,lock
4,a,75,Moderate,lock
4,a,85,Moderate,lock
4,a,88,Moderate,lock
4,a,90,Moderate,lock
4,a,93,Moderate,lock
4,a,93,Moderate,lock
4,a,92,Moderate,lock
4,a,93,Moderate,lock
4,a,93,Moderate,lock
4,a,92,Moderate,lock
4,a,93,Moderate,lock
4,a,89,Moderate,lock
4,a,95,Moderate,lock
4,a,103,Unhealthy for Sensitive Groups,lock
4,a,105,Unhealthy for Sensitive Groups,lock
4,a,107,Unhealthy for Sensitive Groups,lock
4,a,115,Unhealthy for Sensitive Groups,lock
4,a,127,Unhealthy for Sensitive Groups,lock
4,a,114,Unhealthy for Sensitive Groups,lock
4,a,96,Moderate,lock
4,a,107,Unhealthy for Sensitive Groups,lock
4,a,163,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,166,Unhealthy,lock
4,a,164,Unhealthy,lock
4,a,164,Unhealthy,lock
4,a,165,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,159,Unhealthy,lock
4,a,147,Unhealthy for Sensitive Groups,lock
4,a,121,Unhealthy for Sensitive Groups,lock
4,a,118,Unhealthy for Sensitive Groups,lock
4,a,106,Unhealthy for Sensitive Groups,lock
4,a,97,Moderate,lock
4,a,109,Unhealthy for Sensitive Groups,lock
4,a,108,Unhealthy for Sensitive Groups,lock
4,a,106,Unhealthy for Sensitive Groups,lock
4,a,128,Unhealthy for Sensitive Groups,lock
4,a,152,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,152,Unhealthy,lock
4,a,145,Unhealthy for Sensitive Groups,lock
4,a,153,Unhealthy,lock
4,a,154,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,159,Unhealthy,lock
4,a,160,Unhealthy,lock
4,a,169,Unhealthy,lock
4,a,163,Unhealthy,lock
4,a,159,Unhealthy,lock
4,a,156,Unhealthy,lock
4,a,170,Unhealthy,lock
4,a,184,Unhealthy,lock
4,a,161,Unhealthy,lock
4,a,127,Unhealthy for Sensitive Groups,lock
4,a,104,Unhealthy for Sensitive Groups,lock
4,a,90,Moderate,lock
4,a,79,Moderate,lock
4,a,75,Moderate,lock
4,a,82,Moderate,lock
4,a,94,Moderate,lock
4,a,93,Moderate,lock
4,a,88,Moderate,lock
4,a,77,Moderate,lock
4,a,67,Moderate,lock
4,a,64,Moderate,lock
4,a,65,Moderate,lock
4,a,72,Moderate,lock
4,a,153,Unhealthy,lock
4,a,167,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,130,Unhealthy for Sensitive Groups,lock
4,a,129,Unhealthy for Sensitive Groups,lock
4,a,140,Unhealthy for Sensitive Groups,lock
4,a,158,Unhealthy,lock
4,a,172,Unhealthy,lock
4,a,155,Unhealthy,lock
4,a,131,Unhealthy for Sensitive Groups,lock
4,a,106,Unhealthy for Sensitive Groups,lock
4,a,95,Moderate,lock
4,a,93,Moderate,lock
4,a,111,Unhealthy for Sensitive Groups,lock
4,a,80,Moderate,lock
4,a,77,Moderate,lock
4,a,70,Moderate,lock
4,a,62,Moderate,lock
4,a,72,Moderate,lock
4,a,70,Moderate,lock
4,a,105,Unhealthy for Sensitive Groups,lock
4,a,103,Unhealthy for Sensitive Groups,lock
4,a,116,Unhealthy for Sensitive Groups,lock
4,a,152,Unhealthy,lock
4,a,158,Unhealthy,lock
4,a,147,Unhealthy for Sensitive Groups,lock
4,a,157,Unhealthy,lock
4,a,119,Unhealthy for Sensitive Groups,lock
4,a,103,Unhealthy for Sensitive Groups,lock
4,a,142,Unhealthy for Sensitive Groups,lock
4,a,155,Unhealthy,lock
4,a,126,Unhealthy for Sensitive Groups,lock
4,a,95,Moderate,lock
4,a,74,Moderate,lock
4,a,103,Unhealthy for Sensitive Groups,lock
4,a,122,Unhealthy for Sensitive Groups,lock
4,a,106,Unhealthy for Sensitive Groups,lock
4,a,95,Moderate,lock
4,a,92,Moderate,lock
4,a,82,Moderate,lock
4,a,79,Moderate,lock
4,a,88,Moderate,lock
4,a,112,Unhealthy for Sensitive Groups,lock
4,a,139,Unhealthy for Sensitive Groups,lock
